"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"LOC100507002","+",1,2,1,2,1,1,0.0950570342205323,0.43859649122807,0,1,7785,9003,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507006","+",2,0,2,0,2,0,0.0602954476936991,0,0,0,28322,64280854,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507053","+",1,4,1,5,1,1,0.0590667454223272,0.543478260869565,0,1,0,73168,1,FALSE,FALSE,TRUE,FALSE,NA
"LOC100507065","-",5,4,6,6,1,2,0.0412201154163232,0.191570881226054,0.166666666666667,1,43000,216355,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507071","-",2,3,3,3,1,1,0.0129651238169325,0.231481481481481,0,1,216,18565,1,FALSE,FALSE,TRUE,FALSE,NA
"LOC100507144","-",8,4,9,4,2,2,0.119047619047619,3.57142857142857,0.15,1,64210,63085,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507205","-",3,2,3,3,1,1,0.0294204177699323,0.353356890459364,0,1,364610,466924,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507250","-",5,2,5,2,2,1,0.0310607237148626,0.117785630153121,0,1,3246,9849,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507291","+",4,2,4,2,1,1,0.0646830530401035,0.253807106598985,0,1,0,64282,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507351","+",11,10,12,10,1,2,0.0635324015247776,0.53475935828877,0.081818181818182,1,66969,89783,0.414860681114551,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507373","+",16,5,17,6,2,1,0.118133490844654,0.251889168765743,0,1,0,20773,0.649395227198431,FALSE,FALSE,TRUE,FALSE,NA
"LOC100507377","-",20,21,11,16,2,5,0.174216027874564,6.66666666666667,0.271349862258953,3,456945,694593,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507384","+",1,0,1,0,1,0,0.0547345374931582,0,0,0,7541,45732097,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507387","+",4,1,4,1,1,1,0.117647058823529,0.0291545189504373,0,1,180,3888,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507389","+",1,0,1,0,1,0,0.0126598303582732,0,0,0,2025,142944562,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507437","-",1,0,1,0,1,0,0.00779787897691828,0,0,0,1568,105416011,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507443","+",1,1,1,1,1,1,0.0202142712755205,0.389105058365759,0,1,29615,52011,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507464","-",2,6,3,6,1,1,0.0301477238468496,0.746268656716418,0,1,200196,373219,0.523809523809524,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507468","-",7,6,7,8,1,1,0.0862812769628991,0.740740740740741,0,1,766476,696003,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507477","+",3,4,5,4,1,1,0.0379939209726444,0.561797752808989,0,1,52863,151361,0.523809523809524,FALSE,FALSE,TRUE,FALSE,NA
"LOC100507487","+",9,7,10,7,1,1,0.0603864734299517,1.0989010989011,0,1,129309,257697,0.643665158371041,FALSE,FALSE,TRUE,FALSE,NA
"LOC100507507","-",3,2,3,2,1,1,0.0282725473565168,0.0229095074455899,0,1,5160,5306,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507516","*",3,4,3,4,1,1,0.0491642084562439,0.833333333333333,0,1,114433,165812,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507548","+",1,0,1,0,1,0,0.0137117784176608,0,0,0,7891,134977459,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507551","*",8,4,10,4,3,1,0.0684306569343066,0.531914893617021,0,1,0,4564,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507557","+",16,13,23,13,2,2,0.050125313283208,5.55555555555556,0.16289592760181,3,0,147043,0.011069352657637,FALSE,FALSE,TRUE,FALSE,NA
"LOC100507642","+",1,0,1,0,1,0,0.0325945241199478,0,0,0,0,151317,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100507670","-",0,1,0,1,0,1,0,0.102774922918808,0,1,3667,151276355,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100508631","+",1,0,1,0,1,0,0.0241604252234839,0,0,0,109136,36892641,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100630923","+",19,12,32,15,3,2,0.0695410292072323,0.520833333333333,0.15438596491228,1,1966,47588,0.0598842890150019,FALSE,TRUE,TRUE,FALSE,NA
"LOC100631378","-",0,1,0,1,0,1,0,0.0198886237072395,0,1,0,37846799,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100653233","+",0,1,0,1,0,1,0,0.0429000429000429,0,1,18250,57430398,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100996249","+",0,1,0,1,0,1,0,0.139664804469274,0,1,57431,112560632,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100996251","-",7,2,7,2,1,1,0.056657223796034,0.555555555555556,0,1,19839,79729,1,FALSE,FALSE,TRUE,FALSE,NA
"LOC100996335","-",0,1,0,1,0,1,0,0.43859649122807,0,1,7921,21334558,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100996385","-",7,5,8,5,1,3,0.0329380764163373,11.1111111111111,0.228571428571429,1,38668,48454,1,FALSE,FALSE,TRUE,FALSE,NA
"LOC100996415","-",0,1,0,1,0,1,0,0.07627765064836,0,1,0,18205558,1,FALSE,FALSE,FALSE,FALSE,NA
"LOC100996419","+",0,1,0,1,0,1,0,0.0340715502555366,0,1,0,179860509,1,FALSE,FALSE,FALSE,FALSE,NA
