"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"ABCA7","+",13,0,23,0,8,0,0.00407331975560081,0,0,0,0,1061598,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA8","-",1,0,1,0,1,0,0.000485201358563804,0,0,0,72786,68794500,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCA9","-",0,2,0,2,0,1,0,0.0454545454545455,0,1,4998,69065214,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCB1","-",10,4,10,4,3,1,0.00105820105820106,0.00497512437810945,0,1,0,148307,1,TRUE,FALSE,TRUE,FALSE,NA
"ABCB10","-",5,0,5,0,1,0,0.000805152979066023,0,0,0,0,229552025,1,TRUE,FALSE,FALSE,FALSE,NA
"ABCB11","-",1,1,1,1,1,1,0.000428265524625268,0.00128865979381443,0,1,0,18848,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCB4","-",1,0,1,0,1,0,0.000241196333815726,0,0,0,0,87441690,1,TRUE,FALSE,FALSE,FALSE,NA
"ABCB5","+",2,1,2,1,1,1,0.000485201358563804,0.000126887450831113,0,1,73954,216721,1,TRUE,FALSE,FALSE,FALSE,NA
"ABCB6","-",3,0,4,0,1,0,0.000649772579597141,0,0,0,39,219216764,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCB7","-",2,2,2,2,1,1,0.00030441400304414,0.00395256916996047,0,1,25515,88850,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCB8","+",3,1,3,1,1,1,0.000495785820525533,0.00218340611353712,0,1,1489,5583,1,TRUE,FALSE,FALSE,FALSE,NA
"ABCB9","-",3,0,3,0,1,0,0.000294464075382803,0,0,0,8449,122935811,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC1","+",15,8,25,14,2,2,0.00113636363636364,0.00222222222222222,0.107142857142857,1,24143,192294,0.0952632112581076,TRUE,FALSE,TRUE,FALSE,NA
"ABCC10","+",4,3,4,3,1,1,0.000805152979066023,0.00598802395209581,0,1,27477,45442,1,FALSE,FALSE,TRUE,FALSE,NA
"ABCC11","-",1,0,1,0,1,0,0.000428265524625268,0,0,0,0,48214222,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC13","+",1,0,1,0,1,0,0.000241196333815726,0,0,0,0,14282874,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC2","+",1,2,1,2,1,1,0.000495049504950495,0.00354609929078014,0,1,5293,43967,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC3","+",0,1,0,1,0,2,0,0.000126582278481013,0,1,0,50645187,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC4","-",13,5,16,7,2,5,0.00255102040816327,0.0114942528735632,0.311688311688312,3,48668,349011,1,FALSE,TRUE,TRUE,FALSE,NA
"ABCC5","-",12,4,18,4,1,2,0.00169779286926995,0.00182315405651778,0.15,1,2047,93174,0.116746411483254,FALSE,FALSE,TRUE,FALSE,NA
"ABCC6","-",1,0,1,0,1,0,0.000299311583358276,0,0,0,0,16193501,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC6P1","+",0,1,0,1,0,1,0,0.00497512437810945,0,1,28975,18627260,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC6P2","-",0,1,0,1,0,1,0,0.000126887450831113,0,1,506,14821925,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC8","-",0,1,0,1,0,1,0,0.00584795321637427,0,1,0,17409107,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCC9","-",0,1,0,1,0,1,0,0.000126887450831113,0,1,29857,21966551,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCD1","+",5,1,6,1,1,18,0.000719424460431655,0.00113924050632911,0,1,8907,24308,1,FALSE,TRUE,TRUE,FALSE,NA
"ABCD2","-",23,8,33,26,5,8,0.00120598166907863,0.00584795321637427,0.344364937388193,2,49048,115297,1,FALSE,FALSE,TRUE,TRUE,3.65462575351225
"ABCD3","+",11,4,13,4,1,3,0.000847457627118644,0.00144300144300144,0.25,1,71691,165049,0.294117647058823,FALSE,FALSE,FALSE,FALSE,NA
"ABCD4","-",1,0,1,0,1,0,0.000236071765816808,0,0,0,5272,74308336,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCE1","+",16,6,22,7,2,1,0.00105820105820106,0.000410004100041,0,1,1540,27282,0.664526711003473,FALSE,FALSE,FALSE,FALSE,NA
"ABCF1","+",36,7,65,16,3,7,0.00202020202020202,0.0050761421319797,0.279891304347826,1,3994,21594,0.0244525811568168,FALSE,FALSE,TRUE,FALSE,NA
"ABCF2","-",5,0,5,0,1,0,0.000292226767971946,0,0,0,0,151223264,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCF3","+",4,0,4,0,1,0,0.00089126559714795,0,0,0,16649,184210656,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCG1","+",8,0,8,0,1,0,0.000428265524625268,0,0,0,23142,42272588,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCG2","-",5,2,5,2,1,1,0.000365764447695684,0.000265886732252061,0,1,1514,141623,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCG4","+",1,1,1,1,1,1,0.000299311583358276,0.00338983050847458,0,1,4328,8814,1,FALSE,FALSE,FALSE,FALSE,NA
"ABCG5","-",0,1,0,1,0,1,0,0.00598802395209581,0,1,0,43833675,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD10","+",4,5,4,4,1,3,0.000428265524625268,0.0204081632653061,0.228571428571429,2,0,8189,0.0476190476190476,FALSE,FALSE,TRUE,FALSE,NA
"ABHD11","-",1,0,1,0,1,0,0.000722021660649819,0,0,0,0,73736421,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD12","-",4,2,4,2,1,1,0.00166112956810631,0.00078125,0,1,0,73831,0.466666666666667,FALSE,FALSE,TRUE,FALSE,NA
"ABHD12B","+",2,1,2,1,1,1,0.000307408545957578,0.0021978021978022,0,1,20253,47942,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD13","+",10,1,10,1,1,1,0.000477326968973747,0.000243368216110976,0,1,0,12108,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD14A-ACY1","+",3,0,3,0,1,0,0.000958772770853308,0,0,0,0,51986430,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD16A","-",30,9,53,10,2,6,0.00113636363636364,0.020066889632107,0.325,1,3012,17875,0.498327647549385,FALSE,TRUE,TRUE,FALSE,NA
"ABHD17A","-",14,4,21,5,1,5,0.000958772770853308,0.031055900621118,0.266666666666667,2,9403,24650,0.634782608695652,FALSE,FALSE,FALSE,FALSE,NA
"ABHD17B","-",8,3,12,5,1,3,0.000495785820525533,0.00230591852421214,0.25,1,43817,89555,0.244505494505495,FALSE,FALSE,TRUE,FALSE,NA
"ABHD17C","+",1,1,1,1,1,1,0.000217580504786771,0.00087260034904014,0,1,0,29149,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD18","+",9,5,14,6,1,1,0.00492610837438424,0.0125,0,1,3458,75179,1,FALSE,FALSE,TRUE,FALSE,NA
"ABHD2","+",11,3,18,3,3,1,0.000684618895481515,0.010989010989011,0,1,0,96992,1,TRUE,FALSE,TRUE,FALSE,NA
"ABHD3","-",3,1,3,1,1,1,0.000329380764163373,0.000354233085370174,0,1,485,34225,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD5","+",3,0,3,0,1,0,0.00105820105820106,0,0,0,26618,43749343,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD6","+",1,0,1,0,1,0,0.00030441400304414,0,0,0,8773,58228728,1,FALSE,FALSE,FALSE,FALSE,NA
"ABHD8","-",2,1,2,1,1,1,0.000303122158229767,0.000410004100041,0,1,0,3724,1,FALSE,FALSE,FALSE,FALSE,NA
"ABI1","-",19,3,22,4,1,2,0.00102564102564103,0.00471698113207547,0.166666666666667,1,0,92788,1,TRUE,FALSE,TRUE,FALSE,NA
"ABI2","+",13,4,17,6,1,2,0.0005,0.00510204081632653,0.119047619047619,1,292,92903,0.37070938215103,FALSE,FALSE,TRUE,FALSE,NA
"ABI3","+",5,0,5,0,1,0,0.000519480519480519,0,0,0,0,49220932,1,FALSE,FALSE,FALSE,FALSE,NA
"ABI3BP","-",2,1,2,1,1,1,0.000722021660649819,0.0036231884057971,0,1,104153,299561,1,FALSE,FALSE,FALSE,FALSE,NA
"ABL1","+",17,6,25,13,1,4,0.000958772770853308,0.00898876404494382,0.20814479638009,1,0,157062,0.0507921714818266,TRUE,FALSE,TRUE,FALSE,NA
"ABL2","-",10,2,13,3,1,1,0.000495785820525533,0.000932835820895522,0,1,0,103476,1,TRUE,FALSE,TRUE,FALSE,NA
"ABLIM1","-",7,6,10,11,1,6,0.000649772579597141,0.00230591852421214,0.344497607655502,2,0,180304,0.0299731228523798,FALSE,FALSE,TRUE,FALSE,NA
"ABLIM2","-",1,1,1,1,1,1,0.000182381907714755,0.00429184549356223,0,1,0,78329,1,FALSE,FALSE,FALSE,FALSE,NA
"ABO","-",4,1,5,1,2,3,0.000649772579597141,0.000189873417721519,0,1,11663,37996,1,TRUE,FALSE,FALSE,FALSE,NA
"ABR","-",10,3,12,3,1,1,0.000958772770853308,0.00222222222222222,0,1,0,217003,1,TRUE,FALSE,FALSE,FALSE,NA
"ABRA","-",1,1,1,1,1,1,0.00025419420437214,0.00045004500450045,0,1,27566,37879,1,FALSE,FALSE,FALSE,FALSE,NA
"ABRACL","+",3,1,3,1,1,1,0.000282406099971759,0.0000632911392405063,0,1,18639,39982,1,FALSE,FALSE,FALSE,FALSE,NA
"ABTB2","-",6,1,6,2,1,1,0.000509164969450102,0.00671140939597315,0,1,38150,206679,0.464285714285714,TRUE,FALSE,FALSE,FALSE,NA
"ACAA1","-",0,1,0,1,0,1,0,0.0036101083032491,0,1,0,38127900,1,FALSE,FALSE,FALSE,FALSE,NA
"ACAA2","-",5,3,6,3,1,4,0.000649772579597141,0.00078125,0.285714285714286,1,35420,49856,1,FALSE,FALSE,TRUE,FALSE,NA
"ACACA","-",31,9,72,20,3,3,0.00216606498194946,0.00598802395209581,0.165999999999999,1,0,302653,0.609944766757113,FALSE,FALSE,TRUE,FALSE,NA
"ACACB","+",7,2,8,2,2,5,0.00149700598802395,0.00384319754035357,0.333333333333333,2,0,103195,0.466666666666667,FALSE,TRUE,TRUE,FALSE,NA
"ACAD10","+",4,0,4,0,1,0,0.000495049504950495,0,0,0,0,111752570,1,FALSE,FALSE,FALSE,FALSE,NA
"ACAD11","-",1,0,1,0,1,0,0.000292226767971946,0,0,0,888,132557249,1,FALSE,TRUE,TRUE,FALSE,NA
