"celltype","num_UniqueSites","num_Patients","clustersRepresented","numSitesInClusters","abundInClusters","estAbund","relAbund","refSeq_counts.10k","refSeq_counts.100k","refSeq_counts.1M","GC.100","GC.1k","GC.10k","GC.100k","GC.1M","CpG_counts.1k","CpG_counts.10k","CpG_density.10k","CpG_density.100k","CpG_density.1M","DNaseI_count.1k","DNaseI_count.10k","DNaseI_count.100k","DNaseI_count.1M","hg38.10k...34","hg38.10k...35","hg38.10k...36","hg38.10k...37","hg38.10k...38","hg38.10k...39","hg38.10k...40","hg38.10k...41","hg38.10k...42","hg38.10k...43","hg38.10k...44","hg38.10k...45","hg38.10k...46","hg38.10k...47","hg38.10k...48","hg38.10k...49","hg38.10k...50","hg38.10k...51","hg38.10k...52","hg38.10k...53","hg38.10k...54","hg38.10k...55","hg38.10k...56","hg38.10k...57","hg38.10k...58","hg38.10k...59","hg38.10k...60","hg38.10k...61","hg38.10k...62","hg38.10k...63","hg38.10k...64","hg38.10k...65","hg38.10k...66","hg38.10k...67","hg38.10k...68","hg38.10k...69","hg38.10k...70","hg38.10k...71","hg38.10k...72","hg38.10k...73","hg38.10k...74","hg38.10k...75","hg38.10k...76","hg38.10k...77","hg38.10k...78","hg38.10k...79","hg38.10k...80","hg38.10k...81","hg38.10k...82","hg38.10k...83","hg38.10k...84","hg38.10k...85","hg38.10k...86","hg38.10k...87","hg38.10k...88","hg38.10k...89","hg38.10k...90","hg38.10k...91","hg38.10k...92","hg38.10k...93"
"PBL",32569,39,50,741,1457,1.44418604651163,0.00333393771823203,2.61227553723874,6.43114512805417,43.2036208419193,0.417508389755667,0.408268600955236,0.416848840152534,0.430783191563363,0.441020016199085,0.00877244627612599,0.163614954371504,0.0000163614954371504,0.0000215295849278775,0.0000221671180453341,0.970120694730645,8.91683838681189,91.0758021783927,883.878922578746,67.6461583750368,71.3640859581984,446.6647630262,0.125169267000294,0.0997933274284027,0.0552546364439211,11.095142773035,17.3760376803062,7.49623196938475,21.4051516043568,21.3861348248455,18.7993229319988,23.8885487194583,23.2352369738004,72.1820724168384,13.9235796290845,20.9134236090668,12.6460111863409,23.6823962319694,60.8976155431263,20.8180747718575,16.833058581101,21.6125110391522,27.2847806888431,90.5931115690315,20.2311451280542,81.0460994995584,40.10647630262,74.6241095083898,35.6992934942596,5.66017073888725,21.1673829849868,17.1451869296438,70.8113629673241,21.3016779511334,11.7971151015602,36.6581984103621,21.9761554312629,25.946835443038,35.0293494259641,134.549249337651,11.9046511627907,25.1099793935826,27.526582278481,19.9054754194878,23.7470415072122,0.000683576182766685,0.00247151727048044,5.78869590815425,32.92625846335,34.7519281719164,29.302914336179,26.4558433912276,31.9658816602885,54.9047689137474,44.9309096261407,22.5537827494848,35.9536061230498,37.7691786870768,428.734059464233
"Tcells",121882,59,50,1188,1283,1.1070786627014,0.000480743409391599,2.79945423053041,7.54972384718455,51.8369309454557,0.411307746633246,0.413363252441953,0.426363893426452,0.442386182416449,0.452323044471824,0.0120350020017485,0.218893237358346,0.0000218893237358346,0.0000281061008391003,0.0000280119042755713,1.05452109189251,9.4769145294257,96.5277344292566,926.837082186073,71.4362315761953,74.5561946468839,441.589911187731,0.166553642773688,0.133282590191842,0.0733947202862909,12.2112078826105,19.7955815549528,8.0101882414458,22.8642602699435,26.4751299062061,21.4980309814046,28.838630347397,29.2318539821563,88.1473822673944,14.2266495637112,25.0416108369555,13.7760629432334,29.1997450897088,65.9555459328736,19.1685104088369,14.2764387725089,24.2322134710285,27.8598810418641,94.8283277231282,24.2553433118729,101.042664792967,47.0208585247884,88.671598745057,36.7902627536848,5.46769502271316,20.9462073923984,19.2450325174025,81.3932236347593,19.4124236086147,10.1275613582143,38.5071570966371,22.7892251380764,28.0494378901271,38.9335354096539,169.528775450178,12.2367561031406,28.815149187882,30.4172603679859,25.4868296349554,24.1936991404948,0.000690144930435391,0.00212349585710122,6.43396026013922,38.7132749436256,37.1164825647897,30.5119448347985,26.4541406581914,32.282051701036,55.0257933265793,46.2553759926795,23.4516078956829,36.2864554397202,40.1643681166051,428.360804947995
"Tcells:CAR+",26072,5,42,176,188,1.03336781212887,0.000191538802454613,2.92135003639428,7.94525533463587,56.2361031299084,0.406291613990729,0.415440876883972,0.431113758312393,0.448410138243058,0.460161209366691,0.0106118070719841,0.234877217178102,0.0000234877217178102,0.0000301842700072789,0.0000305946059839865,1.13132590123741,9.90832471363445,100.802589740643,966.586829100103,73.60035244991,76.02402022756,439.800482703138,0.182239589319235,0.146274149034039,0.0801823545186377,12.6915297092288,21.488411293721,8.27425966364019,23.4688733095813,29.3185074512508,23.0247481132437,31.7094203731372,32.582155307819,95.9251043941309,14.6165191740413,27.6705359537218,14.6631421675669,32.3173581580661,69.2150710646286,18.459832203195,13.210435582117,25.671148910087,28.4458491361146,96.9387043634831,26.7176569742941,113.854844270773,51.2828027429797,94.8100218365705,37.3275485576371,5.37049381297169,20.4518637704478,20.4096847105697,88.2182124660001,18.4590276979658,9.06646745584799,39.561161552312,23.0406083591924,29.3842087116423,40.9524192621538,185.17871509022,10.8870627897177,31.151323602651,32.0755851817799,28.6736390453205,24.3076274757691,0.000758401668483671,0.00214149437371024,6.69988123970425,41.9029613454392,38.1801708615868,30.6398498256905,26.2131555759874,32.4837758112094,55.7151285292878,47.2211623185075,23.7239397770371,36.2998122821132,41.0462782055702,429.659349500057
"Tcells:CAR+CD8+",15661,7,49,383,986,2.0564737413056,0.000446225013428069,2.78163486695169,6.81417905685661,45.3889349754323,0.402868011957413,0.40302560134364,0.414860307862794,0.430961626680192,0.442454853852238,0.00874282067645182,0.16892150606254,0.000016892150606254,0.0000226100829610721,0.0000230679642629228,1.00350989151244,9.0163369495852,92.4756860242502,896.718379068283,70.12864526833,73.8589113649416,441.778940650925,0.132227185705169,0.103525497472647,0.0543075941289087,11.5166868738434,17.845319379746,7.60257801033757,20.6235722034331,22.2939825154744,19.6203815965797,24.8008423202093,24.5793503924446,76.3592623316955,13.8491481079701,21.2288303235275,13.0931019079829,25.1783549231064,64.948695041797,19.6201263480314,14.8642077723183,22.3052134515985,27.1276242741369,96.5217918448089,20.9972560781061,84.525620573033,42.2988322378916,76.2068151362389,36.1074596388233,5.61463850424351,19.6690702571629,17.4936506923617,75.0371386637738,20.1849913853615,10.7193542211729,37.2160678961138,22.1601046519048,28.0770850615787,36.4070576223598,142.330419245741,10.7153978686746,26.3626443749601,29.1986471826941,20.4628294301576,23.5236423967839,0.000699300699300699,0.00182493645310565,5.58522110905494,34.6055771807798,35.7383702380193,30.6510114223725,27.6292514836322,32.6804926296982,56.9370812328505,46.7309042179823,23.4327101014613,37.2819858337056,39.0403930827643,427.107530312699
"Tcells:CAR+CD8-",4803,6,37,92,222,2.10451800957735,0.00124272344744219,2.72558817405788,6.7753487403706,46.0818238600874,0.407749323339579,0.405831778972394,0.417785577973311,0.433962690957104,0.444565306292693,0.0083281282531751,0.16718717468249,0.000016718717468249,0.0000241057672288153,0.0000242935665209244,1.00999375390381,9.02227774307724,93.5971267957527,903.230064542994,69.5319591921716,73.615656881116,449.014990630856,0.125130127003956,0.0945522855353788,0.055173849677285,11.2140328961066,18.6477201748907,7.75723506141995,20.5962939829273,23.4172392254841,19.9718925671455,25.8434311888403,25.5238392671247,80.3728919425359,14.247761815532,22.4299396210702,13.142202789923,25.7260045804705,64.7949198417656,20.2036227357901,15.2485946283573,22.8686237768062,27.4572142410993,93.9548199042265,22.0624609618988,90.3716427232979,42.8396835311264,73.9641890485113,36.4884447220487,5.59379554445138,20.6050385175932,17.5958775765147,75.8557151780137,20.7237143452009,10.8823651884239,37.7026858213616,22.4430564230689,27.4347282948157,37.0966062877368,151.046845721424,12.0778679991672,26.7430772433895,28.9529460753696,22.2134082864876,24.0274828232355,0.000511378164152391,0.00340063761955367,5.77763897564023,34.0941078492609,35.6593795544451,30.0174890693317,26.9927128877785,32.4595044763689,55.4428482198626,45.7561940453883,22.9902144493025,36.721840516344,38.5756818655007,431.755569435769
"BM",559,2,6,9,10,1.23885918003565,0.00538775910550274,2.40463458110517,6.97860962566845,46.283422459893,0.450035650623886,0.431787287426819,0.436288636859124,0.44599359010439,0.450984297554901,0.0196078431372549,0.2174688057041,0.00002174688057041,0.0000267736185383244,0.0000255525846702317,0.955436720142603,9.08377896613191,92.3101604278075,889.347593582888,61.8467023172905,62.9322638146168,432.51871657754,0.149732620320856,0.119429590017825,0.0659536541889483,10.921568627451,17.4010695187166,6.90552584670232,20.5401069518717,20.4491978609626,17.2638146167558,22.6488413547237,21.541889483066,69.9554367201426,13.3725490196078,19.6720142602496,11.5935828877005,21.9839572192513,55.2762923351159,22.204991087344,17.7932263814617,19.4509803921569,27.0409982174688,82.6916221033868,19.7825311942959,76.3119429590018,37.0231729055258,71.7379679144385,34.6720142602496,5.09982174688057,24.9732620320856,16.2762923351159,63.9590017825312,20.3565062388592,11.5793226381462,36.7878787878788,20.8395721925134,21.4688057040998,34.5918003565062,128.089126559715,18.1604278074866,23.3654188948307,24.2192513368984,20.2923351158645,23.9536541889483,0,0.00545454545454545,5.75935828877005,29.1105169340463,31.7201426024955,24.5704099821747,21.8110516934046,28.7932263814617,45.8877005347594,37.1818181818182,19.9803921568627,30.2121212121212,34.541889483066,425.440285204991
"BM:CAR+",34,1,0,0,0,1,0.000693000693000693,1.47058823529412,3.79411764705882,30.9705882352941,0.498823529411765,0.456470588235294,0.448588235294118,0.442079705882353,0.429849223709517,0,0.147058823529412,0.0000147058823529412,0.0000129411764705882,0.0000131764705882353,1.23529411764706,9.70588235294118,87.5,822.941176470588,58.9117647058824,61.8235294117647,524.117647058824,0.176470588235294,0.147058823529412,0.0588235294117647,14.1470588235294,16.9117647058824,8.23529411764706,28.1176470588235,21.2647058823529,16.3235294117647,20.9705882352941,22.7058823529412,41.2352941176471,17,24.8235294117647,11.5294117647059,21.0882352941176,39.7352941176471,34.3823529411765,36.0588235294118,20.6470588235294,33.0882352941176,60.7941176470588,21,60.0588235294118,30.8235294117647,88.3235294117647,37.6764705882353,6.29411764705882,37.1176470588235,21.9411764705882,50.8529411764706,28.1470588235294,12.2647058823529,38.9117647058824,22.5588235294118,16.1176470588235,30.6176470588235,77.3529411764706,20.7352941176471,22.0882352941176,20.4411764705882,21.4705882352941,27.9411764705882,0,0,6.05882352941176,21.4117647058824,31.7647058823529,23.8823529411765,22,31.1764705882353,39.1470588235294,32.8823529411765,20.6470588235294,28.8823529411765,36.2352941176471,525.764705882353
