"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_sum_abund","TP_sum_abund","TDN_same_ort","TDN_oppo_ort","TP_same_ort","TP_oppo_ort","ort_fisher_test","abund_gini","Overlapping_Genes","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"'NUB1","+",9,6,9,7,10,12,6,3,3,4,0.61451048951049,0.214285714285714,"",FALSE,TRUE,TRUE,FALSE,NA
"'CCNF","+",24,12,59,28,67,37,34,25,23,5,0.0304501887922171,0.212212212212212,"MIR6767",TRUE,TRUE,TRUE,FALSE,NA
"'MYO6","+",3,3,3,6,3,8,2,1,4,2,1,0.208333333333333,"",FALSE,FALSE,TRUE,TRUE,1.05836086258276
"'R3HDM1","+",10,6,12,6,15,8,6,6,5,1,0.315610859728507,0.208333333333333,"MIR128-1",FALSE,TRUE,TRUE,FALSE,NA
"'SYMPK","-",14,9,34,22,34,28,16,18,16,6,0.0963844160970606,0.207482993197279,"",FALSE,TRUE,TRUE,FALSE,NA
"'AP3B1","-",15,11,21,24,23,31,8,13,13,11,0.372749124933849,0.205645161290323,"",FALSE,TRUE,TRUE,FALSE,NA
"'FKBP15","-",4,2,4,6,4,11,3,1,3,3,0.571428571428572,0.204545454545455,"",FALSE,TRUE,TRUE,FALSE,NA
"'WDR11","+",7,6,8,7,8,11,2,6,4,3,0.314685314685315,0.196969696969697,"WDR11-AS1",TRUE,TRUE,TRUE,FALSE,NA
"'SMYD3","-",13,6,15,10,16,13,10,5,2,8,0.0414053035401804,0.192307692307693,"",TRUE,TRUE,TRUE,FALSE,NA
"'KANSL3","-",6,5,7,7,12,9,3,4,4,3,1,0.19047619047619,"",FALSE,TRUE,TRUE,FALSE,NA
"'RWDD4","-",2,1,4,3,4,7,3,1,3,0,1,0.19047619047619,"",FALSE,TRUE,TRUE,FALSE,NA
"'USP9X","+",9,6,19,7,20,9,12,7,6,1,0.374788689571298,0.19047619047619,"",FALSE,TRUE,TRUE,FALSE,NA
"'PELP1","-",16,13,31,31,32,37,14,17,23,8,0.0373675354940917,0.188257222739982,"LOC101559451",FALSE,FALSE,TRUE,TRUE,0.833026602996393
"'RBM26","-",21,8,31,18,34,22,18,13,14,4,0.219203839232871,0.181818181818183,"",FALSE,TRUE,TRUE,FALSE,NA
"'PAPOLA","+",7,6,13,17,15,20,4,9,14,3,0.00801809621505037,0.181249999999999,"",FALSE,FALSE,TRUE,TRUE,7.26892786544384
"'RABGAP1L","+",17,12,27,23,29,28,18,9,12,11,0.388284827833193,0.172077922077922,"GPR52, LOC101928696",TRUE,TRUE,TRUE,FALSE,NA
"'UNC5C","-",3,4,4,5,4,7,3,1,4,1,1,0.171428571428571,"",FALSE,TRUE,TRUE,FALSE,NA
"'SENP6","+",17,10,28,23,31,29,11,17,19,4,0.00372377161337958,0.16791604197901,"",FALSE,FALSE,TRUE,TRUE,1.05836086258276
"'TPM4","+",7,5,12,7,15,8,7,5,4,3,1,0.166666666666667,"",TRUE,TRUE,TRUE,FALSE,NA
"'MYADM","+",2,2,3,2,3,3,2,1,2,0,1,0.166666666666667,"",FALSE,TRUE,TRUE,FALSE,NA
"'ZNF354B","+",3,2,4,2,4,9,2,2,2,0,0.466666666666667,0.166666666666667,"",FALSE,TRUE,TRUE,FALSE,NA
"'SLC39A8","-",3,3,4,3,5,4,1,3,1,2,1,0.166666666666667,"",FALSE,TRUE,TRUE,FALSE,NA
"'ZNF618","+",1,3,1,3,1,4,0,1,2,1,1,0.166666666666667,"",FALSE,TRUE,TRUE,FALSE,NA
"'ZNF827","-",8,2,10,3,13,4,6,4,1,2,0.559440559440559,0.166666666666667,"",FALSE,TRUE,TRUE,FALSE,NA
"'NNT-AS1","-",0,3,0,3,0,4,0,0,1,2,1,0.166666666666667,"NNT",FALSE,TRUE,TRUE,FALSE,NA
"'MIR5096","+",12,7,20,13,20,16,11,9,10,3,0.277518498815109,0.166666666666667,"SPEN, GNG4, LYST, BMP2K, ZZEF1, CYB5D2, ANKFY1, LGALS1, NOL12, TRIOBP, H1F0, GCAT, GALR3, ANKRD54, MIR658, MIR659, EIF3L, MICALL1, C22orf23, POLR2F, MIR6820, SOX10, MIR4534",FALSE,TRUE,TRUE,TRUE,1.7740421349779
"'SMG1P1","+",19,14,26,38,26,40,9,17,26,12,0.0107846240428835,0.16060606060606,"RRN3P3",FALSE,FALSE,TRUE,TRUE,0.0217997746431523
"'CLTC","+",12,10,17,20,17,23,12,5,15,5,1,0.155606407322654,"",TRUE,FALSE,TRUE,TRUE,2.80314233174088
"'PHIP","-",21,11,42,26,49,31,23,19,16,10,0.622414928328109,0.152605459057073,"",TRUE,TRUE,TRUE,FALSE,NA
"'MBD3","-",10,6,14,13,15,15,5,9,11,2,0.0183066361556064,0.15,"",FALSE,FALSE,TRUE,TRUE,3.48097398823765
"'CDK17","-",13,7,20,17,20,21,15,5,12,5,1,0.145658263305322,"",FALSE,TRUE,TRUE,FALSE,NA
"'SRSF2","-",9,5,10,5,12,6,2,8,5,0,0.00699300699300699,0.133333333333334,"MIR636, MFSD11",TRUE,FALSE,FALSE,TRUE,0.0577591979432278
"'MIR636","-",6,5,7,5,8,6,1,6,5,0,0.0151515151515152,0.133333333333334,"SRSF2",FALSE,FALSE,FALSE,TRUE,0.0577591979432278
"'UQCR11","-",10,5,11,6,12,6,4,7,6,0,0.0345022624434389,0.133333333333334,"",FALSE,FALSE,TRUE,TRUE,3.48097398823765
"'SLC35A5","+",0,2,0,2,0,8,0,0,1,1,1,0.125,"ATG3",FALSE,TRUE,TRUE,FALSE,NA
"'MFSD11","+",19,7,36,18,46,21,25,11,10,8,0.372406144281109,0.11904761904762,"SRSF2",FALSE,FALSE,TRUE,TRUE,0.0577591979432278
"'PEX5","+",8,4,11,12,11,14,3,8,11,1,0.00275945618522008,0.119047619047619,"",FALSE,FALSE,TRUE,TRUE,0.343990000415651
"'DNAH6","+",10,8,15,12,19,14,6,9,4,8,1,0.119047619047619,"",FALSE,TRUE,TRUE,FALSE,NA
"'DUSP11","-",2,2,2,4,2,7,1,1,3,1,1,0.0952380952380952,"",FALSE,TRUE,TRUE,FALSE,NA
"'NAE1","-",5,6,8,11,8,11,5,3,8,3,1,0.081818181818182,"",FALSE,FALSE,TRUE,TRUE,0.204497608328823
"'SMG1P7","-",7,7,8,12,8,12,6,2,7,5,0.642414860681115,0.0757575757575757,"",FALSE,FALSE,FALSE,TRUE,0.37159895583753
"'SREK1","+",3,2,3,4,3,9,3,0,4,0,1,0.0555555555555556,"",FALSE,TRUE,TRUE,FALSE,NA
"'ATAD3A","+",12,1,15,1,17,1,7,8,0,1,1,0,"",FALSE,FALSE,FALSE,TRUE,1.38675131315115
"'NRBF2","+",1,2,1,2,1,2,1,0,2,0,1,0,"",FALSE,FALSE,FALSE,TRUE,5.28304253313552
"'TBC1D12","+",2,2,2,2,2,2,0,2,1,1,1,0,"",FALSE,FALSE,FALSE,TRUE,0.316030041287781
"'APOF","-",2,1,2,1,2,1,0,2,1,0,0.333333333333333,0,"",FALSE,FALSE,FALSE,TRUE,6.6848152464621
"'MIR4498","-",1,1,1,1,1,1,0,1,0,1,1,0,"GCN1",FALSE,FALSE,FALSE,TRUE,3.48097398823765
"'LOC100190986","+",3,4,3,6,3,6,1,2,3,3,1,0,"",FALSE,FALSE,FALSE,TRUE,0.0217997746431523
"'LOC100190986","-",0,1,0,1,0,1,0,0,0,1,1,0,"",FALSE,FALSE,FALSE,TRUE,0.0217997746431523
"'NPIPB5","+",2,2,2,2,2,2,0,2,1,1,1,0,"",FALSE,FALSE,FALSE,TRUE,0.0217997746431523
"'LOC653786","+",1,3,1,3,1,3,0,1,2,1,1,0,"",FALSE,FALSE,FALSE,TRUE,0.0217997746431523
"'PDPR","+",0,1,0,3,0,6,0,0,0,3,1,0,"LOC400541",FALSE,FALSE,TRUE,TRUE,0.37159895583753
"'LOC400541","-",0,1,0,3,0,6,0,0,3,0,1,0,"PDPR",FALSE,FALSE,TRUE,TRUE,0.37159895583753
"'MIR5096","+",6,5,6,7,6,7,3,3,2,5,0.592074592074592,0,"SPEN, GNG4, LYST, BMP2K, ZZEF1, CYB5D2, ANKFY1, LGALS1, NOL12, TRIOBP, H1F0, GCAT, GALR3, ANKRD54, MIR658, MIR659, EIF3L, MICALL1, C22orf23, POLR2F, MIR6820, SOX10, MIR4534",FALSE,TRUE,TRUE,TRUE,1.7740421349779
