"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_sum_abund","TP_sum_abund","TDN_same_ort","TDN_oppo_ort","TP_same_ort","TP_oppo_ort","ort_fisher_test","abund_gini","Overlapping_Genes","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"'KIFC1","+",13,6,21,17,24,72,9,12,14,3,0.0201917713041183,0.714646464646465,"",FALSE,TRUE,TRUE,FALSE,NA
"'MSH5-SAPCD1","+",16,4,25,6,27,49,12,13,4,2,0.653936472623903,0.710204081632653,"MSH5, SAPCD1, SAPCD1-AS1",FALSE,TRUE,TRUE,FALSE,NA
"'NCAPH2","+",20,5,37,12,45,53,19,18,9,3,0.191801022606069,0.710120068610635,"SCO2",FALSE,TRUE,TRUE,FALSE,NA
"'PPFIA1","+",11,6,18,18,23,65,9,9,14,4,0.164182424916574,0.708974358974359,"MIR548K",FALSE,TRUE,TRUE,FALSE,NA
"'SNORA58B","+",3,5,3,8,3,50,1,2,8,0,0.0545454545454546,0.706666666666667,"UBAP2L",FALSE,FALSE,FALSE,TRUE,0.527246214813246
"'XPO1","-",5,5,6,8,6,39,4,2,6,2,1,0.705128205128205,"",FALSE,TRUE,TRUE,FALSE,NA
"'MAD1L1","-",16,6,21,13,24,51,14,7,9,4,1,0.702317290552585,"MIR4655, SNORA114",TRUE,TRUE,TRUE,FALSE,NA
"'PDE3B","+",14,4,29,21,32,71,19,10,16,5,0.536817507889544,0.701584507042254,"",FALSE,TRUE,TRUE,FALSE,NA
"'PHF20","+",16,6,32,15,38,66,15,17,12,3,0.0562880430852094,0.699300699300699,"",TRUE,TRUE,TRUE,FALSE,NA
"'PHF12","-",10,2,13,9,16,63,7,6,8,1,0.164860681114551,0.694444444444444,"LOC101927018",FALSE,TRUE,TRUE,FALSE,NA
"'AP1S2","-",4,4,4,8,4,38,2,2,8,0,0.090909090909091,0.692982456140351,"",FALSE,TRUE,TRUE,FALSE,NA
"'DERL2","-",9,7,10,9,13,52,8,2,8,1,1,0.692307692307692,"",FALSE,TRUE,TRUE,FALSE,NA
"'ECD","-",7,6,9,16,9,54,4,5,14,2,0.0581235697940503,0.689458689458689,"",FALSE,TRUE,TRUE,FALSE,NA
"'AUH","-",15,8,23,19,24,78,13,10,11,8,1,0.689102564102564,"",TRUE,TRUE,TRUE,FALSE,NA
"'BRD2","+",15,7,25,12,30,50,11,14,9,3,0.0939188831291168,0.688888888888889,"",TRUE,TRUE,TRUE,FALSE,NA
"'OGFOD1","+",7,5,7,14,9,63,5,2,11,3,1,0.687830687830688,"",FALSE,TRUE,TRUE,FALSE,NA
"'POM121","+",4,5,4,9,6,37,1,3,8,1,0.0517482517482517,0.687258687258687,"NSUN5P2",FALSE,TRUE,TRUE,FALSE,NA
"'NHLRC2","+",6,5,9,10,10,35,6,3,6,4,1,0.685714285714286,"",FALSE,TRUE,TRUE,FALSE,NA
"'PTBP1","+",11,8,18,26,20,100,12,6,12,14,0.226782110078418,0.684,"MIR4745",TRUE,TRUE,TRUE,FALSE,NA
"'TRIM37","-",17,10,27,20,28,79,13,14,17,3,0.0138945444021064,0.683544303797468,"PPM1E",TRUE,TRUE,TRUE,FALSE,NA
"'RABGAP1","+",13,4,14,10,14,40,8,6,3,7,0.239668865257774,0.68125,"GPR21",FALSE,TRUE,TRUE,FALSE,NA
"'TMEM123","-",4,3,4,13,5,46,1,3,3,10,1,0.679347826086956,"LOC101928424",FALSE,TRUE,TRUE,FALSE,NA
"'PPP1CC","-",5,4,7,6,7,33,5,2,4,2,1,0.678787878787879,"",TRUE,TRUE,TRUE,FALSE,NA
"'ZNF565","-",10,5,13,12,18,42,7,6,8,4,0.688167990308251,0.678571428571429,"ZNF146",FALSE,TRUE,TRUE,FALSE,NA
"'TGFBR2","+",6,2,6,7,6,42,2,4,5,2,0.286130536130536,0.678571428571429,"",TRUE,TRUE,TRUE,FALSE,NA
"'HTT","+",17,9,28,17,28,62,15,13,9,8,1,0.67741935483871,"",FALSE,TRUE,TRUE,FALSE,NA
"'BAG6","-",17,6,41,18,51,70,25,16,12,6,0.774812168217602,0.676190476190476,"APOM",FALSE,TRUE,TRUE,FALSE,NA
"'RAB18","+",7,6,10,9,11,39,4,6,5,4,0.656281798696659,0.673992673992674,"",FALSE,TRUE,TRUE,FALSE,NA
"'PCNX3","+",15,5,26,7,27,31,11,15,5,2,0.224503095470837,0.672043010752688,"MIR4690",FALSE,TRUE,TRUE,FALSE,NA
"'EIF2AK4","+",4,3,6,8,6,59,4,2,7,1,0.538461538461538,0.671186440677966,"",FALSE,TRUE,TRUE,FALSE,NA
"'ZNF573","-",9,3,11,5,12,98,7,4,3,2,1,0.668367346938776,"",FALSE,TRUE,TRUE,FALSE,NA
"'SNAP29","+",3,3,3,6,3,36,3,0,3,3,0.464285714285714,0.666666666666667,"",FALSE,TRUE,TRUE,FALSE,NA
"'RMND5A","+",4,5,8,5,8,30,4,4,3,2,1,0.666666666666667,"RNF103-CHMP3",FALSE,TRUE,TRUE,FALSE,NA
"'NAP1L1","-",4,5,5,11,5,43,1,4,10,1,0.0128205128205128,0.665697674418605,"",FALSE,TRUE,TRUE,FALSE,NA
"'VMP1","+",24,10,95,44,105,149,54,41,27,17,0.712313540586577,0.663412649989831,"PTRH2, MIR21",FALSE,TRUE,TRUE,FALSE,NA
"'ANKRD46","-",9,5,13,8,16,37,7,6,6,2,0.399862401100791,0.662162162162162,"",FALSE,TRUE,TRUE,FALSE,NA
"'DCUN1D4","+",9,3,12,10,12,55,6,6,7,3,0.414860681114551,0.661818181818182,"",FALSE,TRUE,TRUE,FALSE,NA
"'MED13L","-",20,11,45,31,55,94,23,22,22,9,0.100470221089334,0.659574468085106,"MIR620",FALSE,TRUE,TRUE,FALSE,NA
"'MTUS1","-",3,4,4,7,4,55,1,3,5,2,0.242424242424243,0.659090909090909,"MIR548V",TRUE,TRUE,TRUE,FALSE,NA
"'ITM2B","+",7,4,8,6,11,33,3,5,5,1,0.137529137529137,0.659090909090909,"",FALSE,TRUE,TRUE,FALSE,NA
"'YLPM1","+",12,9,21,18,25,59,11,10,14,4,0.179889566986341,0.657838983050847,"",FALSE,TRUE,TRUE,FALSE,NA
"'SNHG12","-",1,2,1,8,2,198,0,1,0,8,1,0.656565656565656,"TRNAU1AP, SNORD99, SNORA61, SNORA44, SNORA16A",FALSE,TRUE,TRUE,FALSE,NA
"'CAAP1","-",8,4,10,7,10,36,8,2,3,4,0.161764705882353,0.655555555555556,"",FALSE,TRUE,TRUE,FALSE,NA
"'SEPT9","+",17,5,35,10,41,41,21,14,4,6,0.30105200099528,0.655487804878049,"LOC105371907, MIR4316",TRUE,TRUE,TRUE,FALSE,NA
"'CHMP2B","+",8,7,10,12,14,49,7,3,7,5,0.674922600619195,0.655102040816327,"",FALSE,TRUE,TRUE,FALSE,NA
"'PDCD4","+",13,8,19,20,21,54,14,5,15,5,1,0.653439153439153,"MIR4680, BBIP1",TRUE,TRUE,TRUE,FALSE,NA
"'ZNF92","+",0,1,0,9,0,60,0,0,3,6,1,0.653333333333333,"",FALSE,TRUE,TRUE,FALSE,NA
"'ADD1","+",23,10,55,33,58,104,27,28,28,5,0.00123935873693251,0.65185676392573,"",FALSE,TRUE,TRUE,FALSE,NA
"'FAM117A","-",3,3,4,7,4,27,3,1,6,1,1,0.651851851851852,"",TRUE,TRUE,TRUE,FALSE,NA
"'SFI1","+",18,6,57,14,67,47,25,32,8,6,0.390299677561421,0.649903288201161,"PISD",FALSE,TRUE,TRUE,FALSE,NA
"'ATF7","-",17,10,37,21,40,75,20,17,16,5,0.158478051491807,0.64962962962963,"LOC100652999",FALSE,TRUE,TRUE,FALSE,NA
"'GOLPH3L","-",18,4,36,12,47,39,18,18,7,5,0.743388979881419,0.649572649572649,"",FALSE,TRUE,TRUE,FALSE,NA
"'CASC3","+",15,5,22,9,23,33,10,12,8,1,0.0448362915316535,0.649350649350649,"MIR6866",TRUE,TRUE,TRUE,FALSE,NA
"'MPP7","-",11,8,12,13,13,38,9,3,9,4,1,0.645933014354067,"SNORD130, MIR8086",FALSE,TRUE,TRUE,FALSE,NA
"'SBNO1","-",12,8,24,14,29,48,10,14,13,1,0.0021214152987675,0.643939393939394,"MIR8072",TRUE,TRUE,TRUE,FALSE,NA
"'NDST3","+",2,3,2,8,2,28,0,2,7,1,0.0666666666666666,0.642857142857143,"",FALSE,TRUE,TRUE,FALSE,NA
"'PCMTD2","+",11,6,15,13,16,44,8,7,12,1,0.0376811594202899,0.640151515151515,"",FALSE,TRUE,TRUE,FALSE,NA
"'LONP2","+",10,5,13,9,13,33,6,7,6,3,0.414860681114551,0.640151515151515,"SIAH1",FALSE,TRUE,TRUE,FALSE,NA
"'XPO5","-",16,12,37,28,45,85,18,19,26,2,0.000142660148270268,0.639411764705883,"POLR1C",FALSE,TRUE,TRUE,FALSE,NA
"'POGZ","-",11,9,18,13,19,45,11,7,11,2,0.237421289355323,0.638888888888889,"",FALSE,TRUE,TRUE,FALSE,NA
"'GOLIM4","-",5,3,5,6,5,27,2,3,4,2,0.567099567099567,0.638888888888889,"",FALSE,TRUE,TRUE,FALSE,NA
"'TRIP13","+",5,4,5,9,6,36,3,2,5,4,1,0.634920634920635,"",FALSE,TRUE,TRUE,FALSE,NA
"'RNASEH2A","+",4,4,4,7,4,25,1,3,5,2,0.242424242424243,0.633333333333333,"",FALSE,TRUE,TRUE,FALSE,NA
"'ERMP1","-",7,5,10,10,11,30,4,6,8,2,0.169802333889021,0.633333333333333,"",FALSE,TRUE,TRUE,FALSE,NA
"'HELLS","+",9,10,10,22,13,67,2,8,14,8,0.0538021311924682,0.629353233830846,"",FALSE,FALSE,TRUE,TRUE,0.316030041287781
"'SNORD117","-",18,11,31,29,34,76,14,17,23,6,0.0085055917351628,0.62929061784897,"DDX39B, ATP6V1G2-DDX39B",FALSE,TRUE,TRUE,FALSE,NA
"'NGDN","+",3,3,4,4,4,50,1,3,4,0,0.142857142857143,0.626666666666667,"",FALSE,TRUE,TRUE,FALSE,NA
"'RFC4","-",5,5,8,5,9,23,5,3,3,2,1,0.626086956521739,"EIF4A2",FALSE,TRUE,TRUE,FALSE,NA
"'SBF1","-",9,5,16,10,18,32,8,8,7,3,0.427863777089783,0.625,"PPP6R2",FALSE,TRUE,TRUE,FALSE,NA
"'DDX39B","-",23,12,37,30,41,77,18,19,23,7,0.0245684197733971,0.623917748917749,"MCCD1, ATP6V1G2-DDX39B, SNORD117, SNORD84, DDX39B-AS1",FALSE,TRUE,TRUE,FALSE,NA
"'TARSL2","-",8,9,13,13,15,42,8,5,5,8,0.4337526681153,0.623015873015873,"",FALSE,TRUE,TRUE,FALSE,NA
"'STK4","+",26,11,61,32,70,89,30,31,26,6,0.00351244710856223,0.622846441947565,"",TRUE,TRUE,TRUE,FALSE,NA
"'KMT2D","-",15,7,28,17,33,50,14,14,12,5,0.222393374877038,0.618823529411765,"",TRUE,TRUE,TRUE,FALSE,NA
"'UBR5","-",16,8,26,21,27,55,13,13,12,9,0.770362086660074,0.618181818181818,"",FALSE,TRUE,TRUE,FALSE,NA
"'CENPE","-",7,4,13,7,14,28,3,10,6,1,0.016640866873065,0.614285714285714,"",FALSE,TRUE,TRUE,FALSE,NA
"'SSU72","-",13,5,21,18,26,52,10,11,15,3,0.0427502029281785,0.612637362637362,"",FALSE,TRUE,TRUE,TRUE,1.38675131315115
"'SRSF11","+",8,6,8,16,8,45,1,7,9,7,0.079075857511717,0.612345679012346,"",FALSE,TRUE,TRUE,FALSE,NA
"'PRRC2B","+",9,6,16,10,16,35,7,9,8,2,0.109247543410957,0.612244897959184,"SNORD62A, SNORD62B",FALSE,TRUE,TRUE,FALSE,NA
"'SIPA1L1","+",8,7,11,14,12,40,2,9,9,5,0.041886525777359,0.609090909090909,"",FALSE,TRUE,TRUE,FALSE,NA
"'LOC102725126","+",9,7,11,13,13,33,4,7,9,4,0.217326404245909,0.609090909090909,"FRG1HP, PGM5P2",FALSE,TRUE,TRUE,FALSE,NA
"'FRG1HP","+",9,7,11,13,13,33,4,7,9,4,0.217326404245909,0.609090909090909,"LOC102725126, PGM5P2",FALSE,TRUE,TRUE,FALSE,NA
"'ZNF644","-",7,4,9,9,9,31,4,5,6,3,0.637186343068696,0.60752688172043,"",FALSE,TRUE,TRUE,FALSE,NA
"'HIVEP3","-",13,4,30,8,31,40,16,14,5,3,0.708726321629548,0.607142857142857,"",TRUE,TRUE,TRUE,FALSE,NA
"'ATP6V1G2-DDX39B","-",24,12,47,33,58,84,21,26,24,9,0.0214165207756143,0.605820105820106,"MCCD1, DDX39B, SNORD117, SNORD84, DDX39B-AS1, ATP6V1G2",FALSE,TRUE,TRUE,FALSE,NA
"'GRSF1","-",0,2,0,4,0,32,0,0,4,0,1,0.604166666666667,"",FALSE,TRUE,TRUE,FALSE,NA
"'MED13","-",15,13,51,33,64,90,25,26,23,10,0.0738361367593788,0.604115226337449,"",FALSE,TRUE,TRUE,FALSE,NA
"'SMURF2","-",17,9,46,18,53,54,23,23,11,7,0.578555715342403,0.602469135802469,"",FALSE,TRUE,TRUE,FALSE,NA
"'PTDSS2","+",15,3,23,8,29,26,16,7,6,2,1,0.6,"",FALSE,TRUE,TRUE,FALSE,NA
"'XPO7","+",11,6,15,8,16,30,6,9,6,2,0.193027325346615,0.6,"",FALSE,TRUE,TRUE,FALSE,NA
"'GRB2","-",28,12,74,37,98,91,39,35,23,14,0.418860749133,0.598901098901099,"",TRUE,TRUE,TRUE,FALSE,NA
"'MTOR","-",19,6,36,22,42,63,19,17,16,6,0.171250765877184,0.598765432098765,"MTOR-AS1, ANGPTL7",TRUE,TRUE,TRUE,FALSE,NA
"'GIMAP8","+",8,5,10,8,12,34,4,6,6,2,0.187988482106129,0.598039215686274,"",FALSE,TRUE,TRUE,FALSE,NA
"'POT1","-",19,11,24,21,25,64,14,10,17,4,0.121220483103637,0.595394736842105,"POT1-AS1",FALSE,TRUE,TRUE,FALSE,NA
"'RAVER1","-",10,3,17,5,21,28,9,8,3,2,1,0.595238095238095,"",FALSE,TRUE,TRUE,FALSE,NA
"'GALC","-",10,5,13,10,16,25,9,4,8,2,0.660019614253024,0.595,"",FALSE,TRUE,TRUE,FALSE,NA
"'ITGAL","+",18,9,52,20,54,46,25,27,17,3,0.00677534903584079,0.594202898550725,"MIR4518",FALSE,TRUE,TRUE,FALSE,NA
"'CDK11B","-",11,5,20,15,20,56,9,11,13,2,0.015778804146314,0.594155844155844,"",TRUE,TRUE,TRUE,TRUE,1.38675131315115
"'VAV1","+",28,14,117,91,137,229,70,47,48,43,0.326083572044766,0.593613537117905,"",TRUE,TRUE,TRUE,TRUE,6.6848152464621
"'RAB6A","-",14,10,25,16,27,40,14,11,13,3,0.17612960333391,0.592857142857143,"",FALSE,TRUE,TRUE,FALSE,NA
"'RRP15","+",5,4,5,8,5,22,1,4,4,4,0.564879564879565,0.590909090909091,"",FALSE,TRUE,TRUE,FALSE,NA
"'PPAN","+",13,7,17,11,19,33,7,10,8,3,0.136733137190803,0.590909090909091,"PPAN-P2RY11, SNORD105, SNORD105B, P2RY11",FALSE,TRUE,TRUE,FALSE,NA
"'PPAN-P2RY11","+",14,7,18,11,20,33,8,10,8,3,0.249034129551765,0.590909090909091,"PPAN, SNORD105, SNORD105B, P2RY11, EIF3G",FALSE,TRUE,TRUE,FALSE,NA
"'SEC14L1","+",22,10,41,25,49,76,20,21,15,10,0.450091382726175,0.589912280701754,"SNHG20, SCARNA16, MIR6516",FALSE,TRUE,TRUE,FALSE,NA
"'LOC101927151","+",1,3,1,6,2,42,1,0,1,5,0.285714285714286,0.587301587301587,"LINC00662",FALSE,TRUE,TRUE,FALSE,NA
"'SNRPA","+",4,5,6,11,6,30,3,3,7,4,0.643665158371041,0.586666666666667,"",FALSE,TRUE,TRUE,FALSE,NA
"'GPC6","+",5,3,7,6,8,27,2,5,2,4,1,0.58641975308642,"GPC6-AS2, GPC6-AS1",FALSE,TRUE,TRUE,FALSE,NA
"'ST13","-",13,11,29,26,30,68,15,14,19,7,0.164312615080245,0.58578431372549,"",TRUE,TRUE,TRUE,FALSE,NA
"'BCAP31","-",10,3,15,6,21,24,8,7,3,3,1,0.583333333333333,"",FALSE,TRUE,TRUE,FALSE,NA
"'SYNE1","-",16,7,19,17,24,46,11,8,10,7,1,0.580745341614907,"ESR1, SYNE1-AS1",TRUE,TRUE,TRUE,FALSE,NA
"'CHD8","-",7,7,12,15,15,58,6,6,12,3,0.126620900076278,0.579937304075235,"SNORD9, SNORD8",FALSE,TRUE,TRUE,FALSE,NA
"'HSF2","+",5,8,5,18,5,45,3,2,13,5,0.621385479509049,0.579365079365079,"",FALSE,TRUE,TRUE,FALSE,NA
"'AKAP13","+",16,12,36,39,38,91,24,12,24,15,0.810079736045613,0.578862314156432,"MIR7706",TRUE,TRUE,TRUE,FALSE,NA
"'XRN1","-",14,9,23,23,25,63,14,9,17,6,0.530213778724839,0.57703081232493,"",FALSE,TRUE,TRUE,FALSE,NA
"'RAB11FIP2","-",3,9,4,14,4,38,2,2,12,2,0.197058823529412,0.574561403508772,"CASC2",FALSE,TRUE,TRUE,FALSE,NA
"'TNIP3","-",7,3,10,5,10,17,7,3,2,3,0.328671328671329,0.573529411764706,"",FALSE,TRUE,TRUE,FALSE,NA
"'IFNGR2","+",0,1,0,9,0,141,0,0,9,0,1,0.572104018912529,"TMEM50B",TRUE,TRUE,TRUE,FALSE,NA
"'SF1","-",25,13,70,59,81,156,35,35,39,20,0.0757168766092471,0.572051282051283,"",FALSE,FALSE,TRUE,TRUE,1.7156755749714
"'FRYL","-",18,10,35,26,41,61,17,18,19,7,0.0687818018521991,0.57172131147541,"",TRUE,TRUE,TRUE,FALSE,NA
"'LNPEP","+",9,5,16,9,18,23,8,8,7,2,0.22896266474137,0.571428571428571,"",TRUE,TRUE,TRUE,FALSE,NA
"'UBAP2L","+",20,12,38,39,43,94,20,18,32,7,0.00761459063299301,0.571339173967459,"C1orf43, SNORA58B",FALSE,TRUE,TRUE,TRUE,0.527246214813246
"'KIAA1109","+",20,9,30,29,30,73,22,8,22,7,1,0.570958904109589,"",FALSE,TRUE,TRUE,TRUE,7.37708828089312
"'RABEP1","+",25,14,87,51,96,117,45,42,29,22,0.598906242158614,0.569420702754035,"NUP88",TRUE,TRUE,TRUE,FALSE,NA
"'ZNF384","-",15,7,30,15,34,35,18,12,6,9,0.226342511798022,0.569047619047619,"",TRUE,TRUE,TRUE,FALSE,NA
"'MAN1B1","+",15,11,36,39,37,93,18,18,32,7,0.00640121109344201,0.568158168574402,"",FALSE,TRUE,TRUE,FALSE,NA
"'ATAT1","+",16,5,16,5,16,17,9,7,4,1,0.606467148262814,0.564705882352941,"",FALSE,TRUE,TRUE,FALSE,NA
"'ZNF252P","-",10,4,11,7,14,21,7,4,3,4,0.630467571644042,0.563492063492063,"TMED10P1, ZNF252P-AS1",FALSE,TRUE,TRUE,FALSE,NA
"'SNX2","+",11,3,16,4,19,19,11,5,3,1,1,0.56140350877193,"",FALSE,TRUE,TRUE,FALSE,NA
"'LRMP","+",7,6,13,10,15,28,5,8,4,6,1,0.557142857142857,"LOC645177, CASC1",TRUE,TRUE,TRUE,FALSE,NA
"'ABCC4","-",8,4,11,8,12,18,5,6,6,2,0.352067952687148,0.555555555555556,"SNORD13G",FALSE,TRUE,TRUE,FALSE,NA
"'ZNF317","+",6,4,7,10,10,44,2,5,2,8,1,0.554545454545455,"",FALSE,TRUE,TRUE,FALSE,NA
"'AKAP9","+",14,4,17,15,20,56,9,8,12,3,0.147464977188825,0.551587301587301,"",TRUE,TRUE,TRUE,FALSE,NA
"'TMEM64","-",4,3,5,4,5,15,2,3,4,0,0.166666666666667,0.55,"",FALSE,TRUE,TRUE,FALSE,NA
"'CDC73","+",14,7,17,27,19,65,8,9,16,11,0.538513744756643,0.549832775919732,"MIR1278, B3GALT2",TRUE,TRUE,TRUE,FALSE,NA
"'ARNT","-",20,8,41,16,45,43,26,15,9,7,0.763438882166565,0.547406082289803,"",TRUE,TRUE,TRUE,FALSE,NA
"'PTAR1","-",7,2,9,6,11,17,6,3,5,1,0.604395604395604,0.544117647058824,"",FALSE,TRUE,TRUE,FALSE,NA
"'GSK3B","-",14,6,24,18,27,39,7,17,13,5,0.0116155256446637,0.543269230769231,"",TRUE,TRUE,TRUE,FALSE,NA
"'ALKBH8","-",4,6,5,11,7,25,0,5,8,3,0.0256410256410256,0.542222222222222,"",FALSE,TRUE,TRUE,FALSE,NA
"'LTA4H","-",1,4,1,4,1,19,0,1,1,3,1,0.539473684210526,"",FALSE,TRUE,TRUE,FALSE,NA
"'SRRM2","+",21,12,37,33,42,85,18,19,25,8,0.027323810352289,0.538742393509128,"SRRM2-AS1",FALSE,TRUE,TRUE,FALSE,NA
"'CRAMP1","+",28,14,91,61,110,141,41,50,40,21,0.0138073313502985,0.53745970341715,"",FALSE,TRUE,TRUE,FALSE,NA
"'SAE1","+",21,14,71,34,82,75,33,38,28,6,0.000616062666045201,0.53505376344086,"",FALSE,TRUE,TRUE,FALSE,NA
"'FOXK2","+",22,11,62,21,72,49,27,35,11,10,0.613407924592836,0.533673469387755,"",FALSE,TRUE,TRUE,FALSE,NA
"'KIF20B","+",7,9,9,15,9,32,6,3,9,6,1,0.533653846153846,"",FALSE,FALSE,TRUE,TRUE,3.01901398030427
"'DIP2A","+",28,14,96,47,109,98,52,44,29,18,0.473246354563812,0.531110004977601,"DIP2A-IT1",FALSE,TRUE,TRUE,FALSE,NA
"'KIAA1468","+",16,10,29,23,29,54,11,18,20,3,0.000511541821953944,0.529100529100529,"",FALSE,TRUE,TRUE,FALSE,NA
"'DPYD","-",29,14,72,40,88,90,32,40,17,23,1,0.528395061728395,"DPYD-AS1, DPYD-AS2",FALSE,TRUE,TRUE,FALSE,NA
"'SEC16A","-",31,15,117,61,146,136,58,59,44,17,0.00418769919102613,0.525997899159664,"C9orf163",FALSE,TRUE,TRUE,FALSE,NA
"'HS2ST1","+",7,5,8,13,8,33,3,5,9,4,0.203095975232198,0.523415977961432,"",FALSE,TRUE,TRUE,FALSE,NA
"'ATP5B","-",8,5,10,8,10,29,4,6,6,2,0.187988482106129,0.522988505747126,"SNORD59B, SNORD59A",FALSE,FALSE,TRUE,TRUE,1.21234367547959
"'RTTN","-",17,9,29,22,33,45,16,13,10,12,0.577085806897022,0.520833333333333,"",FALSE,TRUE,TRUE,FALSE,NA
"'FBXO8","-",15,6,23,13,24,29,15,8,10,3,0.708246155340149,0.52037617554859,"CEP44",FALSE,TRUE,TRUE,FALSE,NA
"'DPH7","-",8,3,14,4,16,13,10,4,3,1,1,0.519230769230769,"",FALSE,TRUE,TRUE,FALSE,NA
"'SRP72","+",4,4,5,5,5,13,3,2,5,0,0.444444444444444,0.519230769230769,"",FALSE,TRUE,TRUE,FALSE,NA
"'MSN","+",2,3,6,4,6,27,4,2,4,0,0.466666666666667,0.518518518518518,"",TRUE,TRUE,TRUE,FALSE,NA
"'INPP5B","-",6,4,7,6,9,20,4,3,4,2,1,0.516666666666667,"",FALSE,TRUE,TRUE,FALSE,NA
"'PAFAH1B1","+",21,14,72,41,87,84,44,28,30,11,0.221997626782994,0.514157014157014,"",FALSE,TRUE,TRUE,FALSE,NA
"'CAPS2","-",4,3,4,4,4,13,1,3,2,2,1,0.512820512820513,"GLIPR1L1",FALSE,TRUE,TRUE,FALSE,NA
"'COL4A3BP","-",13,5,18,7,22,19,11,7,4,3,1,0.511278195488722,"POLK",FALSE,TRUE,TRUE,FALSE,NA
"'PRRC2A","+",23,7,61,26,73,50,29,32,19,7,0.0352222270459907,0.511111111111111,"SNORA38, MIR6832",FALSE,TRUE,TRUE,FALSE,NA
"'ST3GAL3","+",22,9,45,27,47,51,22,23,20,7,0.0488651925458113,0.507130124777183,"LOC101929592, MIR6079",FALSE,TRUE,TRUE,FALSE,NA
"'NOSIP","-",30,10,164,32,193,67,85,79,20,12,0.333680975370577,0.506499759268175,"",FALSE,TRUE,TRUE,FALSE,NA
"'BLM","+",16,6,60,23,65,45,34,26,14,9,0.806899076089321,0.505263157894737,"",TRUE,TRUE,TRUE,FALSE,NA
"'UBR3","+",7,7,14,17,14,36,7,7,15,2,0.0438716125808064,0.50462962962963,"",FALSE,TRUE,TRUE,FALSE,NA
"'SNORD59B","-",8,4,10,7,10,27,4,6,6,1,0.13399835458659,0.503703703703704,"ATP5B",FALSE,FALSE,FALSE,TRUE,1.21234367547959
"'ZNF251","-",33,11,132,62,167,133,68,64,32,30,1,0.503050078025252,"",FALSE,TRUE,TRUE,FALSE,NA
"'WDR82","-",22,10,45,32,56,60,22,23,26,6,0.0045033553485224,0.502666666666666,"MIRLET7G",TRUE,TRUE,TRUE,FALSE,NA
"'GUF1","+",14,6,16,10,21,23,5,11,7,3,0.10537084398977,0.502415458937198,"",FALSE,TRUE,TRUE,FALSE,NA
"'HN1L","+",30,16,147,91,175,179,66,81,68,23,0.00000770705584259444,0.500572983813207,"",FALSE,TRUE,TRUE,TRUE,6.85404591559336
"'COLGALT1","+",12,6,20,11,25,28,8,12,8,3,0.135051828924247,0.5,"",FALSE,TRUE,TRUE,FALSE,NA
"'RASA3","-",5,2,7,5,10,16,5,2,1,4,0.242424242424243,0.5,"",TRUE,TRUE,TRUE,FALSE,NA
"'PAXBP1","-",6,4,7,6,7,15,4,3,4,2,1,0.5,"PAXBP1-AS1",FALSE,TRUE,TRUE,FALSE,NA
"'ZMYM2","+",14,7,20,11,27,28,10,10,11,0,0.00489755122438781,0.5,"",TRUE,TRUE,TRUE,FALSE,NA
"'NABP1","+",3,4,4,5,4,12,2,2,0,5,0.166666666666667,0.5,"",FALSE,TRUE,TRUE,FALSE,NA
"'AK5","+",4,5,5,9,5,22,2,3,7,2,0.265734265734266,0.5,"",FALSE,TRUE,TRUE,FALSE,NA
"'SCLT1","-",14,9,18,17,23,38,13,5,8,9,0.175583176153858,0.497975708502024,"",TRUE,TRUE,TRUE,FALSE,NA
"'GNB1","-",31,16,132,61,152,120,59,73,38,23,0.0299638654886201,0.494968553459119,"",FALSE,TRUE,TRUE,FALSE,NA
"'MAST2","+",15,6,24,7,32,18,18,6,4,3,0.384105416274493,0.492063492063492,"",FALSE,TRUE,TRUE,FALSE,NA
"'NEMP1","-",11,9,29,15,31,31,14,15,13,2,0.0212798876309427,0.491315136476427,"",FALSE,TRUE,TRUE,FALSE,NA
"'PSMD13","+",24,14,90,58,103,112,50,40,43,15,0.024579766795648,0.491071428571429,"",FALSE,TRUE,TRUE,FALSE,NA
"'LINC01473","-",0,2,0,3,0,90,0,0,3,0,1,0.488888888888889,"",FALSE,TRUE,TRUE,FALSE,NA
"'ZW10","-",3,3,4,4,4,15,3,1,4,0,1,0.488888888888889,"",FALSE,TRUE,TRUE,FALSE,NA
"'VPS13A","+",15,8,32,18,33,39,15,17,13,5,0.137343075222174,0.488888888888888,"VPS13A-AS1",FALSE,TRUE,TRUE,FALSE,NA
"'ATE1","-",6,7,6,13,7,28,4,2,3,10,0.12874097007224,0.487012987012987,"ATE1-AS1",FALSE,TRUE,TRUE,FALSE,NA
"'GAS2","+",5,3,6,4,7,19,5,1,1,3,0.190476190476191,0.486842105263158,"",FALSE,TRUE,TRUE,FALSE,NA
"'SNORD59A","-",6,5,8,7,8,28,3,5,5,2,0.314685314685315,0.485714285714286,"ATP5B",FALSE,FALSE,FALSE,TRUE,1.21234367547959
"'KIAA0586","+",12,6,14,10,17,20,9,5,7,3,1,0.485714285714286,"TIMM9",FALSE,TRUE,TRUE,FALSE,NA
