"gene_name","gene_ort","TDN_num_patients","TP_num_patients","TDN_num_sites","TP_num_sites","TDN_peak_abund","TP_peak_abund","TDN_peak_relAbund","TP_peak_relAbund","abund_gini","long_count","max_geneDist","genomic_range","ort_fisher_test","On_Onco_List","Top_1pc_Abund","Top_10pc_Abund","Within_Cluster","Cluster_target.min"
"SPICE1","-",3,0,3,0,1,0,0.000219058050383352,0,0,0,0,113507434,1,FALSE,FALSE,FALSE,FALSE,NA
"SPIDR","+",6,1,7,1,1,1,0.000719424460431655,0.00078125,0,1,0,341726,1,FALSE,FALSE,TRUE,FALSE,NA
"SPIN1","+",4,1,6,1,1,1,0.000235349493998588,0.00112739571589628,0,1,0,64957,1,FALSE,FALSE,TRUE,FALSE,NA
"SPIN2A","-",1,0,1,0,1,0,0.000235349493998588,0,0,0,33504,57171129,1,FALSE,FALSE,FALSE,FALSE,NA
"SPIN4","-",2,0,2,0,1,0,0.000235349493998588,0,0,0,287613,63345265,1,FALSE,FALSE,FALSE,FALSE,NA
"SPINK1","-",0,1,0,1,0,1,0,0.00078125,0,1,7128,147817451,1,FALSE,FALSE,FALSE,FALSE,NA
"SPINK8","-",1,0,1,0,1,0,0.000219058050383352,0,0,0,0,48322322,1,FALSE,FALSE,TRUE,FALSE,NA
"SPINT2","+",2,0,2,0,1,0,0.000307408545957578,0,0,0,0,38276044,1,FALSE,FALSE,FALSE,FALSE,NA
"SPIRE1","-",1,1,1,1,1,1,0.00016095284081764,0.000932835820895522,0,1,0,26968,1,FALSE,FALSE,TRUE,FALSE,NA
"SPIRE2","+",3,0,6,0,2,0,0.00143884892086331,0,0,0,5453,89870717,1,FALSE,FALSE,FALSE,FALSE,NA
"SPN","+",2,0,2,0,1,0,0.000219058050383352,0,0,0,11028,29672706,1,FALSE,FALSE,FALSE,FALSE,NA
"SPNS1","+",1,0,1,0,1,0,0.00018723085564501,0,0,0,0,28978894,1,FALSE,FALSE,FALSE,FALSE,NA
"SPNS2","+",1,0,1,0,2,0,0.000614817091915155,0,0,0,0,4526383,1,FALSE,FALSE,FALSE,FALSE,NA
"SPNS3","+",2,0,4,0,3,0,0.000547145723144264,0,0,0,15672,4481672,1,FALSE,FALSE,FALSE,FALSE,NA
